"tipo_elem";distrito;id;id_cruce;"fecha_inst";utm_x;utm_y;longitud;latitud
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;3442;99;"2018-08-07 00:00:00";440156.488228517;4475729.373312823;-3.7055175292781;40.43005074933898
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;3444;99;"2018-08-07 00:00:00";440179.064508806;4475658.202224948;-3.70524469055048;40.42941123216429
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;3439;99;"2018-08-07 00:00:00";440084.935897899;4475672.283414964;-3.70635564468908;40.42953130742721
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;3443;99;"2018-08-07 00:00:00";440177.319006456;4475681.890989589;-3.70526749656036;40.4296245056492
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;3445;99;"2018-08-07 00:00:00";440128.673473874;4475632.495284866;-3.70583629975934;40.42917602725547
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;3441;99;"2018-08-07 00:00:00";440135.868597501;4475729.987994665;-3.70576066221331;40.43005480300281
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;3446;99;"2018-08-07 00:00:00";440112.071412083;4475631.405014491;-3.70603190832791;40.4291650105494
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;3440;99;"2018-08-07 00:00:00";440082.393765713;4475698.392850194;-3.70638807346757;40.42976632975741
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;4398;2096;"2018-08-01 00:00:00";440887.225741854;4475345.36207075;-3.69686749212963;40.42664364656216
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;4399;2096;"2018-08-01 00:00:00";440885.455290228;4475339.073487061;-3.69688777741361;40.42658687025045
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;4397;2096;"2018-08-01 00:00:00";440904.694050055;4475344.236499432;-3.69666147190556;40.42663474790906
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;4396;2096;"2018-08-01 00:00:00";440891.63686538;4475344.895373016;-3.69681545062326;40.42663975574932
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;4424;1843;"2020-05-18 00:00:00";441253.703866221;4475289.027373889;-3.69254225707277;40.42616211599049
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;4425;1843;"2020-05-18 00:00:00";441240.577743991;4475274.005867359;-3.6926955979363;40.42602586810429
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;3448;34;"2018-08-06 00:00:00";440408.270461269;4475647.510399302;-3.70254171224822;40.42933136662768
