type,district,id,id_cruce,Longitude,Latitude
AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH),Centro,3442,99,-3.7055175292781,40.43005074933898
AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH),Centro,3444,99,-3.70524469055048,40.42941123216429
AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH),Centro,3439,99,-3.70635564468908,40.42953130742721
AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH),Centro,3443,99,-3.70526749656036,40.4296245056492
AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH),Centro,3445,99,-3.70583629975934,40.42917602725547
AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH),Centro,3441,99,-3.70576066221331,40.43005480300281
AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH),Centro,3446,99,-3.70603190832791,40.4291650105494
AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH),Centro,3440,99,-3.70638807346757,40.42976632975741
AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH),Centro,4398,2096,-3.69686749212963,40.42664364656216
AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH),Centro,4399,2096,-3.69688777741361,40.42658687025045
AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH),Centro,4397,2096,-3.69666147190556,40.42663474790906
AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH),Centro,4396,2096,-3.69681545062326,40.42663975574932
AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH),Centro,4424,1843,-3.69254225707277,40.42616211599049
AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH),Centro,4425,1843,-3.6926955979363,40.42602586810429
AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH),Centro,3448,34,-3.70254171224822,40.42933136662768
AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH),Centro,3451,34,-3.70233768820049,40.42864990293704
AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE),Centro,7277,34,-3.70223193744505,40.42850411768804
AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH),Centro,8551,34,-3.70254724366519,40.42906191572158
AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE),Centro,8057,34,-3.701690918857,40.42878228187826
AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE),Centro,8058,34,-3.70171011225007,40.42891445000198
AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE),Centro,8059,34,-3.70164024249894,40.42898879782683
AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH),Centro,8550,34,-3.70247564098319,40.42894444114182
AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH),Centro,9534,34,-3.70232674019162,40.42872757354223
AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH),Centro,9535,34,-3.70225676068049,40.42875170688335
AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH),Centro,8549,34,-3.70270338164316,40.42919665398512
AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH),Centro,9537,34,-3.70209479029547,40.4287930013476
AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH),Centro,9536,34,-3.70218296935576,40.42880269792928
AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE),Centro,7276,34,-3.70216060547914,40.42854877601341
AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH),Centro,3452,34,-3.70233143276021,40.42858875898241
AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH),Centro,8548,34,-3.70263816433985,40.42909334060381
AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH),Centro,3449,34,-3.7017591955797,40.42925964633657
AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH),Centro,3450,34,-3.70154305324064,40.42919940152832
AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH),Centro,3447,34,-3.70242957935501,40.42941463211756
AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE),Centro,8174,35,-3.69940201670466,40.42822082558266
AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE),Centro,8172,35,-3.69969424028253,40.4283851415889
AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH),Centro,3454,35,-3.69953870165873,40.42863355997409
AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE),Centro,8109,35,-3.69911557962925,40.42846240358468
AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE),Centro,8173,35,-3.69959114628922,40.4285848051947
AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE),Centro,8175,35,-3.69931641473092,40.42826791568562
other,Centro,10798,35,-3.69924561155478,40.42801783191483
other,Centro,10799,35,-3.69935976017396,40.42796056642805
AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE),Centro,8110,35,-3.69913597232836,40.42824638402334
AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH),Centro,3453,35,-3.69937840404292,40.42866891203843
AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH),Centro,4423,36,-3.69516865381191,40.42746855641496
AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH),Centro,4414,36,-3.69572143495965,40.4282626110702
AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH),Centro,4417,36,-3.69617310759783,40.42753551211234
AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH),Centro,4413,36,-3.69489866515269,40.42821529455346
AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH),Centro,4415,36,-3.69595226332737,40.42820416863823
AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH),Centro,4419,36,-3.69625232993635,40.42775188215924
AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE),Centro,8171,36,-3.69525378809246,40.42795042446303
AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE),Centro,8170,36,-3.69546524026132,40.4280287577672
AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH),Centro,4412,36,-3.69483797087552,40.42827345545297
AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH),Centro,4420,36,-3.69651033453896,40.42782004656982
AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH),Centro,4422,36,-3.69534469353156,40.4273474325235
AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH),Centro,4421,36,-3.69654539402109,40.42793160175025
AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH),Centro,4418,36,-3.69632400904771,40.42765845676143
AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH),Centro,4416,36,-3.69602928424555,40.427497979576
other,Centro,10111,415,-3.70606624635942,40.42805912927255
AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH),Centro,4387,415,-3.7061829475881,40.42795170754341
AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH),Centro,4386,415,-3.70634011491276,40.42794575225331
AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH),Centro,7138,37,-3.69355778545351,40.42640322642427
AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH),Centro,7137,37,-3.69351170737914,40.42637828764665
other,Centro,7927,414,-3.70674747223011,40.42666882942259
other,Centro,7928,414,-3.70656997595572,40.42708062558658
AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH),Centro,4391,591,-3.70117663758484,40.4261178487853
AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH),Centro,4394,591,-3.70128762493431,40.42640029347361
