district,id,description,Longitude,Latitude
Hortaleza,4749,AV. FUERZAS ARMADAS 116 P.P.,-3.63211487044915,40.48599224858878
San Blas,2165,AV. GUADALAJARA - AUSTRIA,-3.60813003466268,40.42393214827539
San Blas,6,SAN HILARIO - AV. LUIS ARAGONES,-3.60522023163244,40.44622831169853
San Blas,1975,NIZA 53 - P.P. - TRAVESIA RONDA,-3.60750439696244,40.43210151637035
Tetuán,4690,Pº CASTELLANA 89-93,-3.69114376476696,40.45043299159932
Hortaleza,4738,FCO. PI Y MARGALL - INFANTA CATALINA MICAELA P.P.,-3.65291062105254,40.48755913299636
Puente de Vallecas,1599,AV. PABLO NERUDA - SANTOS INOCENTES,-3.65962033903204,40.38143880453925
Puente de Vallecas,1542,GLORIETA ASAMBLEA DE MADRID,-3.66343766725248,40.38228457475314
Puente de Vallecas,696,AV. PALOMERAS - PUERTO CARDOSO,-3.65395803013851,40.38713565603862
Puente de Vallecas,736,AV. PALOMERAS - PEDRO LABORDE,-3.64994347620447,40.38627748187202
Puente de Vallecas,395,ARROYO DEL OLIVAR - SIERRA DEL CADI,-3.66145439266479,40.39189423501358
Puente de Vallecas,1035,ARROYO DEL OLIVAR - SIERRA CARBONERA,-3.66379995024314,40.39308759663606
Puente de Vallecas,484,MARTINEZ DE LA RIVA - ARROYO DEL OLIVAR,-3.66642932355051,40.394192248153
Puente de Vallecas,702,MARTINEZ DE LA RIVA - PARR. EMILIO FRANCO,-3.66584480173932,40.39243823883285
Puente de Vallecas,947,MARTINEZ DE LA RIVA - JAVIER DE MIGUEL,-3.66460525976615,40.38917269632224
Puente de Vallecas,699,MARTINEZ DE LA RIVA - CARLOS MARTIN ALVAREZ,-3.66448010791078,40.38801618865247
Puente de Vallecas,1254,CARLOS MARTIN ALVAREZ - JAVIER DE MIGUEL,-3.66390958257203,40.38899291455298
San Blas,1679,TAMPICO - TUMACO,-3.63562759544516,40.44498197298461
Hortaleza,4651,SILVANO - RAMON POWER,-3.62466817869004,40.46257163704608
Chamberí,89,GTA. QUEVEDO,-3.70426271712387,40.43361995298057
Chamartín,1133,LOPEZ HOYOS 59,-3.67705784497677,40.44212132422528
